individual-local-identifier,timestamp,location-long,location-lat,argos:lc,argos:nb-mes,sensor-type,manually-marked-outlier
"2004CA-Bmu-10820",2004-08-12 20:02:00.000,-120.106,34.123,"",,"gps",
"2004CA-Bmu-10825",2004-08-19 23:58:00.000,-123.082,37.411,"",,"gps",
"2004CA-Bmu-10829",2004-08-19 01:44:00.000,-123.06299999999999,37.402,"",,"gps",
"2004CA-Bmu-10831",2004-08-19 23:39:00.000,-123.077,37.414,"",,"gps",
"2004CA-Bmu-10833",2004-08-02 01:41:00.000,-123.26400000000001,37.799,"",,"gps",
"2004CA-Bmu-10840",2004-08-12 16:13:00.000,-120.119,34.136,"",,"gps",
"2005CA-Bmu-00834",2005-08-19 16:50:00.000,-122.01600000000002,36.658,"",,"gps",
"2005CA-Bmu-00845",2005-08-16 01:40:00.000,-121.99799999999999,36.685,"",,"gps",
"2005CA-Bmu-00849",2005-08-14 18:01:00.000,-121.99599999999998,36.692,"",,"gps",
"2005CA-Bmu-01388",2005-08-15 20:45:00.000,-122.00799999999998,36.68,"",,"gps",
"2005CA-Bmu-01389",2005-08-14 21:07:00.000,-122.017,36.594,"",,"gps",
"2005CA-Bmu-01390",2005-08-18 22:12:00.000,-122.01499999999999,36.668,"",,"gps",
"2005CA-Bmu-02082",2005-08-19 22:32:00.000,-121.97899999999998,36.715,"",,"gps",
"2005CA-Bmu-10820",2005-08-15 20:00:00.000,-122.00900000000001,36.684,"",,"gps",
"2005CA-Bmu-10821",2005-08-14 21:39:00.000,-121.989,36.558,"",,"gps",
"2005CA-Bmu-10823",2005-08-15 18:00:00.000,-121.99799999999999,36.685,"",,"gps",
"2005CA-Bmu-10826",2005-08-16 00:55:00.000,-122.00200000000001,36.672,"",,"gps",
"2005CA-Bmu-10828",2005-08-11 18:30:00.000,-121.59199999999998,36.017,"",,"gps",
"2005CA-Bmu-10829",2005-08-07 19:07:00.000,-121.50900000000001,35.521,"",,"gps",
"2005CA-Bmu-10830",2005-08-14 20:23:00.000,-121.988,36.533,"",,"gps",
"2005CA-Bmu-10833",2005-08-06 23:00:00.000,-121.47199999999998,35.56,"",,"gps",
"2006CA-Bmu-00825",2006-09-12 22:33:00.000,-120.59800000000001,34.056,"",,"gps",
"2006CA-Bmu-00832",2006-09-12 22:57:00.000,-120.602,34.054,"",,"gps",
"2006CA-Bmu-00838",2006-09-12 23:51:00.000,-120.601,34.069,"",,"gps",
"2006CA-Bmu-02083",2006-09-14 18:08:00.000,-120.613,34.101,"",,"gps",
"2006CA-Bmu-04175",2006-09-13 00:13:00.000,-120.61500000000001,34.101,"",,"gps",
"2006CA-Bmu-10831",2006-09-14 17:50:00.000,-120.608,34.108,"",,"gps",
"2006CA-Bmu-10834",2006-09-14 21:25:00.000,-120.60500000000002,34.103,"",,"gps",
"2006CA-Bmu-10839",2006-09-14 17:37:00.000,-120.613,34.117,"",,"gps",
"2006CA-Bmu-10840",2006-09-14 18:55:00.000,-120.606,34.109,"",,"gps",
"2006CA-Bmu-23036",2006-09-12 23:41:00.000,-120.607,34.067,"",,"gps",
"2006CA-Bmu-23039",2006-09-26 20:51:00.000,-120.98399999999998,34.524,"",,"gps",
"2007CA-Bmu-00827",2007-09-09 20:51:00.000,-120.048,34.122,"",,"gps",
"2007CA-Bmu-00831",2007-09-07 01:05:00.000,-120.041,34.139,"",,"gps",
"2007CA-Bmu-00835",2007-09-09 19:39:00.000,-120.076,34.118,"",,"gps",
"2007CA-Bmu-00836",2007-09-17 15:44:00.000,-120.083,34.116,"",,"gps",
"2007CA-Bmu-00847",2007-09-07 23:42:00.000,-120.024,34.13,"",,"gps",
"2007CA-Bmu-01385",2007-09-07 00:09:00.000,-120.018,34.15,"",,"gps",
"2007CA-Bmu-04172",2007-09-06 22:56:00.000,-119.97300000000001,34.146,"",,"gps",
"2007CA-Bmu-04174",2007-09-06 21:10:00.000,-119.92500000000001,34.153,"",,"gps",
"2007CA-Bmu-05670",2007-09-06 22:19:00.000,-119.96800000000002,34.149,"",,"gps",
"2007CA-Bmu-05801",2007-09-17 21:14:00.000,-120.00200000000001,34.134,"",,"gps",
"2007CA-Bmu-10836",2007-09-08 17:37:00.000,-120.05000000000001,34.14,"",,"gps",
"2007CA-Bmu-10838",2007-09-07 21:46:00.000,-120.02699999999999,34.145,"",,"gps",
"2007CA-Bmu-10842",2007-09-06 22:41:00.000,-119.98599999999999,34.149,"",,"gps",
"2007CA-Bmu-23034",2007-09-09 17:44:00.000,-120.088,34.135,"",,"gps",
"2007CA-Bmu-23043",2007-09-06 23:33:00.000,-119.98399999999998,34.149,"",,"gps",
"2008CA-Bmu-00825",2008-07-24 17:53:00.000,-120.03300000000002,34.119,"",,"gps",
"2008CA-Bmu-00830",2008-07-25 23:45:00.000,-120.06799999999998,34.121,"",,"gps",
"2008CA-Bmu-00840",2008-07-27 15:34:00.000,-120.024,34.122,"",,"gps",
"2008CA-Bmu-01386",2008-07-27 16:26:00.000,-120.03800000000001,34.123,"",,"gps",
"2008CA-Bmu-04176",2008-07-27 17:48:00.000,-120.03800000000001,34.122,"",,"gps",
"2008CA-Bmu-04177",2008-07-27 22:15:00.000,-120.095,34.128,"",,"gps",
"2008CA-Bmu-05644",2008-07-26 02:05:00.000,-120.05200000000002,34.115,"",,"gps",
"2008CA-Bmu-05701",2008-07-26 21:10:00.000,-119.988,34.124,"",,"gps",
"2008CA-Bmu-05878",2008-07-27 17:31:00.000,-120.03199999999998,34.124,"",,"gps",
"2008CA-Bmu-10821",2008-07-28 00:14:00.000,-120.14100000000002,34.112,"",,"gps",
"2008CA-Bmu-10839",2008-07-28 23:00:00.000,-120.02100000000002,34.135,"",,"gps",
"2008CR-Bmu-00846",2008-01-17 16:17:00.000,-97.11900000000003,9.782,"",,"gps",
"2008CR-Bmu-01388",2008-01-14 05:00:00.000,-96.90699999999998,8.767,"",,"gps",
"1993CA-Bmu-00834",1993-08-29 01:23:17.000,-122.40699999999998,36.981,"1",4,"argos-doppler-shift",
"1993CA-Bmu-00834",1993-08-31 13:04:34.000,-122.78800000000001,37.637,"B",2,"argos-doppler-shift",
"1993CA-Bmu-00834",1993-09-01 01:57:39.000,-122.827,37.166,"B",2,"argos-doppler-shift",
"1993CA-Bmu-00834",1993-09-05 13:41:06.000,-122.74700000000001,38.231,"B",2,"argos-doppler-shift",true
"1993CA-Bmu-10823",1993-08-30 15:03:19.000,-122.24200000000002,37.687,"B",2,"argos-doppler-shift",true
"1993CA-Bmu-10823",1993-08-31 03:58:08.000,-122.85,38.165,"B",2,"argos-doppler-shift",true
"1993CA-Bmu-10823",1993-09-01 11:12:09.000,-123.00900000000001,38.584,"B",2,"argos-doppler-shift",true
"1993CA-Bmu-10823",1993-09-01 22:35:12.000,-123.46600000000001,38.184,"B",2,"argos-doppler-shift",
"1993CA-Bmu-10833",1993-08-28 21:45:56.000,-122.065,37.089,"B",2,"argos-doppler-shift",true
"1993CA-Bmu-10836",1993-09-01 03:40:17.000,-123.41,37.141,"B",2,"argos-doppler-shift",
"1993CA-Bmu-10836",1993-09-02 15:32:56.000,-123.001,36.855,"B",2,"argos-doppler-shift",
"1993CA-Bmu-10836",1993-09-03 15:13:56.000,-122.37700000000001,36.877,"B",2,"argos-doppler-shift",
"1993CA-Bmu-10836",1993-09-04 04:16:04.000,-122.417,36.59,"B",2,"argos-doppler-shift",
"1993CA-Bmu-10836",1993-09-04 16:35:40.000,-123.316,36.725,"B",2,"argos-doppler-shift",
"1994CA-Bmu-00848",1994-10-07 00:38:35.000,-123.227,33.594,"A",3,"argos-doppler-shift",
"1994CA-Bmu-00848",1994-10-07 15:03:17.000,-120.76499999999999,34.173,"B",2,"argos-doppler-shift",
"1994CA-Bmu-00848",1994-10-07 16:42:35.000,-120.309,34.11,"0",5,"argos-doppler-shift",
"1994CA-Bmu-00848",1994-10-08 00:30:09.000,-119.946,34.135,"0",4,"argos-doppler-shift",
"1994CA-Bmu-00848",1994-10-08 02:23:57.000,-119.987,33.961,"0",4,"argos-doppler-shift",
"1994CA-Bmu-00848",1994-10-08 03:22:55.000,-120.04000000000002,34.158,"B",2,"argos-doppler-shift",
"1994CA-Bmu-00848",1994-10-08 04:01:11.000,-120.22300000000001,34.026,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10820",1994-09-15 16:17:22.000,-122.779,37.744,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10820",1994-09-16 01:37:00.000,-123.434,37.486,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10820",1994-09-16 03:40:58.000,-123.66300000000001,37.444,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10820",1994-09-18 16:55:45.000,-126.31900000000002,37.779,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10820",1994-09-19 13:28:52.000,-126.94900000000001,36.866,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10821",1994-09-14 00:23:34.000,-123.05599999999998,37.669,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10822",1994-09-14 00:21:58.000,-123.424,36.063,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10822",1994-09-14 12:49:42.000,-122.387,38.091,"B",2,"argos-doppler-shift",true
"1994CA-Bmu-10822",1994-09-14 14:24:39.000,-122.148,37.766,"B",2,"argos-doppler-shift",true
"1994CA-Bmu-10822",1994-09-14 16:41:38.000,-122.40699999999998,38.12,"B",2,"argos-doppler-shift",true
"1994CA-Bmu-10823",1994-09-15 01:53:29.000,-123.28800000000001,37.554,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-15 03:22:44.000,-122.58100000000002,37.44,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-15 04:06:31.000,-123.61099999999999,37.693,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-15 12:35:24.000,-122.977,37.88,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-15 16:21:18.000,-123.162,37.76,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-16 23:46:00.000,-123.344,37.761,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-17 01:28:34.000,-122.94799999999998,37.706,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-17 01:37:56.000,-123.14100000000002,37.772,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-17 15:33:04.000,-123.30099999999999,37.967,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-18 01:16:37.000,-123.15800000000002,38.396,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10823",1994-09-18 02:43:52.000,-121.66899999999998,39.033,"B",2,"argos-doppler-shift",true
"1994CA-Bmu-10823",1994-09-23 00:13:26.000,-122.37799999999999,36.798,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10824",1994-09-15 02:23:30.000,-122.80700000000002,37.584,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10824",1994-09-15 04:03:58.000,-123.12099999999998,37.629,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 00:00:58.000,-120.458,34.237,"0",,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 01:14:03.000,-120.582,34.424,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 01:41:13.000,-121.303,34.44,"0",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 02:54:40.000,-119.969,34.093,"Z",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 02:59:24.000,-119.334,34.656,"Z",5,"argos-doppler-shift",true
"1994CA-Bmu-10828",1994-10-02 04:40:59.000,-120.168,34.134,"0",7,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 12:25:43.000,-120.614,34.072,"0",8,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 14:07:38.000,-120.761,34.059,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 15:14:55.000,-120.67099999999999,34.075,"0",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-02 23:52:14.000,-120.41899999999998,34.438,"0",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-03 01:27:08.000,-121.024,33.91,"Z",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-03 02:30:49.000,-120.668,34.196,"0",7,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-03 04:29:17.000,-120.80099999999999,34.138,"0",9,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-03 12:18:47.000,-120.47199999999998,33.725,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-03 13:59:59.000,-120.392,33.694,"0",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-03 16:31:25.000,-120.815,33.851,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-03 16:52:13.000,-120.64600000000002,33.834,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-03 23:39:00.000,-120.95499999999998,33.914,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-04 01:19:40.000,-120.57400000000001,33.978,"0",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-04 02:06:49.000,-120.49099999999999,33.8,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-04 03:49:17.000,-120.751,33.694,"0",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-04 13:39:49.000,-118.22300000000001,33.109,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-04 14:30:05.000,-120.482,34.114,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-04 16:42:08.000,-120.392,33.856,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-04 23:26:07.000,-120.34300000000002,33.438,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-05 01:04:42.000,-120.38,33.385,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-05 01:45:15.000,-120.80200000000002,33.225,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-05 03:27:33.000,-120.471,33.486,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-05 04:01:48.000,-120.291,33.472,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-05 13:32:04.000,-120.34300000000002,33.333,"Z",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-05 15:48:54.000,-120.059,33.339,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-05 16:27:54.000,-120.012,33.316,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-05 23:13:19.000,-119.578,32.986,"0",7,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-06 00:52:34.000,-119.679,32.96,"0",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-06 01:26:14.000,-119.44299999999998,32.955,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-06 03:06:57.000,-119.571,32.845,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-06 03:48:36.000,-119.571,32.858,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-06 13:20:59.000,-119.249,32.454,"1",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-06 13:46:06.000,-118.92000000000002,32.506,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-06 15:24:44.000,-118.49099999999999,32.464,"0",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-06 23:02:42.000,-118.893,32.446,"Z",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-07 00:39:46.000,-119.27100000000002,32.026,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-07 02:43:31.000,-118.482,32.241,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-07 16:45:04.000,-118.00999999999999,31.597,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-08 00:29:43.000,-117.392,31.253,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-08 02:23:31.000,-117.37700000000001,31.156,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-08 03:24:40.000,-117.34199999999998,31.141,"0",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-08 04:03:45.000,-117.482,31.073,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-08 14:35:45.000,-116.94799999999998,30.776,"0",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-08 14:39:11.000,-116.179,31.078,"A",3,"argos-doppler-shift",true
"1994CA-Bmu-10828",1994-10-08 16:22:55.000,-116.78,30.705,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-09 00:14:44.000,-116.43700000000001,30.427,"Z",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-09 03:42:39.000,-116.488,30.292,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-09 04:55:01.000,-116.30799999999999,30.204,"Z",4,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-09 12:45:11.000,-116.4,30.147,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-09 15:58:24.000,-116.01600000000002,29.994,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 00:04:04.000,-115.70600000000002,29.464,"Z",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 01:41:00.000,-115.82900000000001,29.391,"0",8,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 02:58:03.000,-115.65899999999999,29.426,"0",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 03:19:44.000,-115.65800000000002,29.266,"0",6,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 04:37:40.000,-115.65,29.202,"0",9,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 12:30:16.000,-115.29000000000002,28.79,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 14:12:05.000,-114.83100000000002,28.286,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 15:40:27.000,-115.13299999999998,28.753,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-10 23:49:59.000,-115.06799999999998,28.481,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-11 01:18:58.000,-114.689,28.284,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-11 02:56:00.000,-114.94799999999998,28.283,"0",10,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-11 04:22:26.000,-116.821,27.601,"A",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-11 12:19:36.000,-114.86000000000001,28.126,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-11 13:57:17.000,-114.969,28.151,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-11 16:50:20.000,-115.137,28.03,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-12 02:30:10.000,-115.96199999999999,28.149,"B",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-12 04:14:24.000,-115.81799999999998,27.299,"Z",3,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-12 12:05:22.000,-114.49000000000001,27.762,"Z",7,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-12 13:43:58.000,-114.733,28.005,"0",5,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-12 16:36:19.000,-114.875,27.873,"B",2,"argos-doppler-shift",
"1994CA-Bmu-10828",1994-10-12 16:37:23.000,-114.77100000000002,27.967,"Z",5,"argos-doppler-shift",
